,normalized_year,vd17_id,record_number,field_number,field_code,last_name,first_name,full_name_vd17,member_number,role,role2
235,1667,15:751461M,31717,19,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
236,1667,15:751460D,31718,19,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
237,1667,56:740804K,31813,19,028C,StolbergStolberg,Johann Martin,johann martin stolbergstolberg,228,hnr,GefeierteR
238,1667,1:665419H,32727,22,028C,Reinhard,Johann Georg,johann georg reinhard,468,dte,WidmungsempfängerIn
239,1667,12:165783P,33816,23,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
240,1667,14:079062Y,34458,18,028C,Werthern,Friedrich,friedrich werthern,688,dte,WidmungsempfängerIn
241,1667,39:148768V,34930,19,028C,Schönberg,Hans Dietrich,hans dietrich schönberg,752,dte,WidmungsempfängerIn
242,1667,23:287065V,35216,20,028C,Bünau,Günther,günther bünau,862,dte,WidmungsempfängerIn
243,1666,17:750105G,35352,22,028C,Hertingshausen,Moritz,moritz hertingshausen,332,rcp,AdressatIn
244,1666,27:745852Y,35398,20,028C,Albertus,Johannes,johannes albertus,158,dte,WidmungsempfängerIn
245,1666,547:743490D,35426,26,028C,Wrangel,Carl Gustaf,carl gustaf wrangel,523,oth,"Sonstige Person, Familie und Körperschaft"
246,1666,56:740976A,35438,22,028C,Rist,Johann,johann rist,467,wat,VerfasserIn von Zusatztexten
247,1666,27:732680A,35552,17,028C,Seckendorff,Veit Ludwig,veit ludwig seckendorff,615,dte,WidmungsempfängerIn
248,1666,32:699930G,35924,18,028C,Seckendorff,Veit Ludwig,veit ludwig seckendorff,615,dte,WidmungsempfängerIn
249,1697,15:742610H,36718,21,028C,Gersdorf,Nicolaus,nicolaus gersdorf,662,hnr,GefeierteR
250,1697,15:742610H,36718,21,028C,Gersdorf,Nicolaus,nicolaus gersdorf,662,hnr,WidmungsempfängerIn
251,1697,15:742610H,36718,21,028C,Gersdorf,Nicolaus,nicolaus gersdorf,662,dte,GefeierteR
252,1697,15:742610H,36718,21,028C,Gersdorf,Nicolaus,nicolaus gersdorf,662,dte,WidmungsempfängerIn
253,1697,1:733874Q,36833,21,028C,Meyer,Bernhard,bernhard meyer,347,dte,WidmungsempfängerIn
254,1697,16:724488F,36943,18,028C,Ziegler,Heinrich,heinrich ziegler,756,dte,WidmungsempfängerIn
255,1666,75:679090R,37155,21,028C,Praun,Michael,michael praun,849,dte,WidmungsempfängerIn
256,1666,1:658761F,37362,22,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
257,1666,32:644110N,37512,18,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
