normalized_year,genre,n,phase
1659,Vertrag,4,phase 2
1660,Libretto,4,phase 2
1660,Satire,4,phase 2
1661,Dissertation,4,phase 2
1661,Gesellschaftsschrift,4,phase 2
1661,Lied,4,phase 2
1661,Liedersammlung,4,phase 2
1662,Altertumskunde,4,phase 2
1662,Predigt,4,phase 2
1663,Leichenpredigt,4,phase 2
1663,Liedersammlung,4,phase 2
1664,Dissertation,4,phase 2
1664,Streitschrift,4,phase 2
1665,Drama,4,phase 2
1665,Gebetbuch,4,phase 2
1665,Gesangbuch,4,phase 2
1666,Brief,4,phase 2
1666,Lied,4,phase 2
1667,Festbeschreibung,4,phase 2
1667,Predigt,4,phase 2
1667,Schulprogramm,4,phase 2
1669,Rede,4,phase 3
1670,Geldwesen,4,phase 3
1670,Gesellschaftsschrift,4,phase 3
1671,Libretto,4,phase 3
1672,Genealogie,4,phase 3
1672,Hochschulschrift,4,phase 3
1673,Gesetzessammlung,4,phase 3
1673,Predigt,4,phase 3
1673,Streitschrift,4,phase 3
1674,Hochschulschrift,4,phase 3
1674,Rede,4,phase 3
1674,Schulprogramm,4,phase 3
1675,Gebetbuch,4,phase 3
1675,Geldwesen,4,phase 3
1675,Hochschulschrift,4,phase 3
1675,Leichenpredigt,4,phase 3
1675,Liedersammlung,4,phase 3
1675,Predigt,4,phase 3
1676,Gesangbuch,4,phase 3
1677,Gesangbuch,4,phase 3
1677,Schulprogramm,4,phase 3
1678,Brief,4,phase 3
1678,Kriegskunde,4,phase 3
1679,Biographie,4,phase 3
1679,Geldwesen,4,phase 3
1679,Rede,4,phase 3
1679,Roman,4,phase 3
